2022-11-08 06:30:18 trigproc libc-bin:arm64 2.35-0ubuntu3.1 <none>
2022-11-08 06:30:18 status half-configured libc-bin:arm64 2.35-0ubuntu3.1
2022-11-08 06:30:18 status installed libc-bin:arm64 2.35-0ubuntu3.1
2022-11-09 06:30:09 startup archives unpack
2022-11-09 06:30:10 upgrade libpixman-1-0:arm64 0.40.0-1build4 0.40.0-1ubuntu0.22.04.1
2022-11-09 06:30:10 status triggers-pending libc-bin:arm64 2.35-0ubuntu3.1
2022-11-09 06:30:10 status half-configured libpixman-1-0:arm64 0.40.0-1build4
2022-11-09 06:30:10 status unpacked libpixman-1-0:arm64 0.40.0-1build4
2022-11-09 06:30:10 status half-installed libpixman-1-0:arm64 0.40.0-1build4
2022-11-09 06:30:10 status unpacked libpixman-1-0:arm64 0.40.0-1ubuntu0.22.04.1
2022-11-09 06:30:10 startup packages configure
2022-11-09 06:30:10 configure libpixman-1-0:arm64 0.40.0-1ubuntu0.22.04.1 <none>
2022-11-09 06:30:10 status unpacked libpixman-1-0:arm64 0.40.0-1ubuntu0.22.04.1
2022-11-09 06:30:10 status half-configured libpixman-1-0:arm64 0.40.0-1ubuntu0.22.04.1
2022-11-09 06:30:10 status installed libpixman-1-0:arm64 0.40.0-1ubuntu0.22.04.1
2022-11-09 06:30:10 trigproc libc-bin:arm64 2.35-0ubuntu3.1 <none>
2022-11-09 06:30:10 status half-configured libc-bin:arm64 2.35-0ubuntu3.1
2022-11-09 06:30:11 status installed libc-bin:arm64 2.35-0ubuntu3.1
2022-11-12 19:50:25 startup archives unpack
2022-11-12 19:50:26 upgrade distro-info-data:all 0.52ubuntu0.1 0.52ubuntu0.2
2022-11-12 19:50:26 status half-configured distro-info-data:all 0.52ubuntu0.1
2022-11-12 19:50:26 status unpacked distro-info-data:all 0.52ubuntu0.1
2022-11-12 19:50:26 status half-installed distro-info-data:all 0.52ubuntu0.1
2022-11-12 19:50:27 status unpacked distro-info-data:all 0.52ubuntu0.2
2022-11-12 19:50:29 upgrade ubuntu-advantage-tools:arm64 27.11.2~22.04.1 27.11.3~22.04.1
2022-11-12 19:50:29 status half-configured ubuntu-advantage-tools:arm64 27.11.2~22.04.1
2022-11-12 19:50:32 status unpacked ubuntu-advantage-tools:arm64 27.11.2~22.04.1
2022-11-12 19:50:32 status half-installed ubuntu-advantage-tools:arm64 27.11.2~22.04.1
2022-11-12 19:50:35 status triggers-pending man-db:arm64 2.10.2-1
2022-11-12 19:50:38 status unpacked ubuntu-advantage-tools:arm64 27.11.3~22.04.1
2022-11-12 19:50:38 upgrade mutter-common:all 42.2-0ubuntu1 42.5-0ubuntu1
2022-11-12 19:50:38 status half-configured mutter-common:all 42.2-0ubuntu1
2022-11-12 19:50:38 status unpacked mutter-common:all 42.2-0ubuntu1
2022-11-12 19:50:38 status half-installed mutter-common:all 42.2-0ubuntu1
2022-11-12 19:50:38 status triggers-pending libglib2.0-0:arm64 2.72.1-1
2022-11-12 19:50:38 status unpacked mutter-common:all 42.5-0ubuntu1
2022-11-12 19:50:38 upgrade gir1.2-mutter-10:arm64 42.2-0ubuntu1 42.5-0ubuntu1
2022-11-12 19:50:38 status half-configured gir1.2-mutter-10:arm64 42.2-0ubuntu1
2022-11-12 19:50:38 status unpacked gir1.2-mutter-10:arm64 42.2-0ubuntu1
2022-11-12 19:50:38 status half-installed gir1.2-mutter-10:arm64 42.2-0ubuntu1
2022-11-12 19:50:38 status unpacked gir1.2-mutter-10:arm64 42.5-0ubuntu1
